Season,League,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,inning
2016,MLB,20697,0.085374691,0.221094844,0.386145104,0.251406317,0.320732714,0.409562959,0.730295673,0.158156642,0.300453767,2381.588622,-56.51792234,0.314733507,94.91176194,7
2016,MLB,20602,0.088632171,0.231045529,0.383613445,0.242904614,0.315851043,0.396851337,0.71270238,0.153946723,0.294922468,2237.644592,-189.2709533,0.30692362,89.5023558,8
2016,MLB,15534,0.07995365,0.238830951,0.334770889,0.239159939,0.306090779,0.380027144,0.686117923,0.140867205,0.294979919,1560.531123,-269.3740353,0.297129865,82.9673884,9
2016,MLB,3493,0.117377612,0.222444889,0.527670527,0.242617449,0.338864628,0.370805369,0.709669997,0.12818792,0.302195235,364.4230591,-47.05233162,0.303203631,88.08874457,10
2017,MLB,20970,0.08683834,0.210920362,0.411711508,0.264359861,0.332616692,0.449614053,0.782230745,0.185254192,0.30594736,2790.877702,234.6347087,0.334266614,105.7087049,1
2017,MLB,20513,0.080485545,0.221420562,0.363496257,0.249769335,0.316347569,0.416173677,0.732521246,0.166404342,0.296920656,2367.522202,-133.0124913,0.314092818,92.10143561,2
2017,MLB,20814,0.083837801,0.204958201,0.409048288,0.259948236,0.327437487,0.43664402,0.764081507,0.176695784,0.299905323,2614.431263,77.2046695,0.326444267,100.2866991,3
2017,MLB,21006,0.082928687,0.203703703,0.407104463,0.267448649,0.333971658,0.4506661,0.784637758,0.183217451,0.307526417,2782.572994,221.9416006,0.334323478,105.4678864,4
2017,MLB,20913,0.082771481,0.195954669,0.422401171,0.263163527,0.330317177,0.442583476,0.772900653,0.179419949,0.299607563,2685.292267,135.9975735,0.329268667,102.4326655,5
2017,MLB,20964,0.085098263,0.208881892,0.407398949,0.258521516,0.326805209,0.432094162,0.758899371,0.173572646,0.300679092,2603.35391,47.84231629,0.32389502,98.8119009,6
2017,MLB,20710,0.088749396,0.222742636,0.398439193,0.246629702,0.320700698,0.406555772,0.72725647,0.15992607,0.294179575,2370.837144,-153.7118495,0.312213454,91.11765615,7
2017,MLB,20736,0.089699074,0.23683449,0.3787416,0.245125649,0.318650467,0.404462738,0.723113205,0.159337089,0.297970126,2338.034408,-189.6839851,0.310135102,89.6222544,8
2017,MLB,15590,0.083001924,0.251507376,0.330017852,0.235457656,0.305237421,0.386583974,0.691821395,0.151126318,0.291688124,1597.053063,-303.3679316,0.297622536,81.56846416,9
2017,MLB,3079,0.11789542,0.218252679,0.540178571,0.247899159,0.344327176,0.404889228,0.749216404,0.156990069,0.293991416,360.9339886,-14.39611036,0.316128468,95.58215263,10
2018,MLB,20902,0.088460434,0.219069945,0.403799956,0.254033771,0.325731806,0.427606539,0.753338345,0.173572768,0.298122412,2638.784853,195.3411161,0.32616727,104.6322017,1
2018,MLB,20252,0.077819474,0.234495358,0.331859338,0.237993303,0.303889386,0.393764751,0.697654137,0.155771448,0.288309089,2156.410098,-211.0486414,0.302888841,88.53018932,2
2018,MLB,20478,0.081892762,0.216769215,0.37778779,0.245763638,0.314208456,0.398163332,0.712371788,0.152399694,0.292200059,2294.661975,-99.21616298,0.3097225,93.18587625,3
2018,MLB,20762,0.078894133,0.209758212,0.376119402,0.255031042,0.319980648,0.428280882,0.74826153,0.17324984,0.295855411,2542.404678,115.3269407,0.322139255,101.7733913,4
2018,MLB,20753,0.083024141,0.206283428,0.402476056,0.255136709,0.322618181,0.42263927,0.745257451,0.167502561,0.296245188,2528.552092,102.5264544,0.321340384,101.266326,5
2018,MLB,20830,0.083245319,0.216274603,0.38490566,0.253820989,0.321524966,0.424786828,0.746311794,0.170965839,0.297931641,2545.0653,110.0383629,0.321307118,101.4780228,6
2018,MLB,20668,0.086558931,0.2249371,0.384813938,0.245004061,0.316947588,0.404440834,0.721388422,0.159436773,0.294536461,2373.707828,-42.38131032,0.312091284,95.26041132,7
2018,MLB,20844,0.091393206,0.231769334,0.394328296,0.245239125,0.321923743,0.393854144,0.715777887,0.148615019,0.300211736,2368.582495,-68.08104248,0.310728217,94.28598314,8
2018,MLB,15767,0.084099701,0.251347751,0.334595003,0.237087873,0.308622335,0.387080798,0.695703133,0.149992925,0.296288743,1678.892534,-164.2697183,0.301917208,88.34536357,9
2018,MLB,3883,0.120782899,0.220448107,0.547897196,0.244934986,0.345141964,0.398246144,0.743388108,0.153311158,0.298349555,455.958872,2.036183703,0.316259237,99.00138929,10
